,comment,date
290,"They pumped the carp out of Boeing....for utterly no reason than to get this index higher. Doesn't that fact alone scream rigged! Watch out index funds
","Apr 12, 2019 4:24PM ET"
291,"The higher it goes the farther it falls.
","Apr 12, 2019 4:03PM ET"
292,"going short from 26,390
","Apr 12, 2019 3:54PM ET"
293,"so bulls got back most of what they lost this week alone
","Apr 12, 2019 3:52PM ET"
294,"So let me get this straight. Earnings are great. Unemployment is at a record low. How about paying off some of that 22 Trillion national debt, normalising the balance sheet and raise interest rates. No? Then its all bs designed to keep the ponzi scheme sto...Show more
","Apr 12, 2019 3:51PM ET"
295,"400+ closing
","Apr 12, 2019 3:49PM ET"
296,"I wonder why the world bank is worried about growth and all the central bankers in the world.
","Apr 12, 2019 3:35PM ET"
297,"Hi guys, so  where wo go from here???. Don't you think, we need a reasonable break now?
","Apr 12, 2019 3:08PM ET"
298,"pet cemetery are full with bear corpses, no phoenix.
","Apr 12, 2019 2:51PM ET"
299,"I'm just excited when the profit release will be ongoing towards under 25000 where many stops can be hunted...
","Apr 12, 2019 1:51PM ET"
300,"dow is just a pile of *****now 2big companies reported earnings and all 2good did u see first quarter best in years offcourse what do u think low inflation those yields offcourse banks gonna have more money lets have a look on semiconductors and industrial...Show more
","Apr 12, 2019 1:42PM ET"
301,"chummed a few in this am, now back to the debt pile lol. tic tok tic tok
","Apr 12, 2019 1:18PM ET"
302,"turning down
","Apr 12, 2019 12:52PM ET"
303,"Since 04-05-19 i am in for a long position. Bought at a price of 26400 LOL
","Apr 12, 2019 11:10AM ET"
304,"so how many shorted this gap? lol
","Apr 12, 2019 10:43AM ET"
305,"Welcome Back President Trump :) Hola 30,000
","Apr 12, 2019 10:11AM ET"
306,"shorted 2600 Nikkei futures
","Apr 12, 2019 9:31AM ET"
307,"26356
","Apr 12, 2019 9:14AM ET"
308,"is up on premarket and after europe close will go down!!!
","Apr 12, 2019 8:54AM ET"
309,"hehe @ Drama_ Bears . lol
","Apr 12, 2019 6:50AM ET"
310,"Damm - that pump took my S/L :-(
","Apr 12, 2019 4:18AM ET"
311,"wondering when the next correction will be
","Apr 11, 2019 9:25PM ET"
312,"see how they rigg up now all day this
","Apr 11, 2019 3:06PM ET"
313,"enough with the over the stop censorship. I just want to say they are pounding gold
","Apr 11, 2019 1:32PM ET"
314,"just *****gold
","Apr 11, 2019 1:31PM ET"
315,"market looking decent for slight gain
","Apr 11, 2019 1:12PM ET"
316,"Is it me or do i see a head and fingers (WatNo) on the 1hr chart... :)
","Apr 11, 2019 1:05PM ET"
317,"How long can Low interest rates keep the market afloat? What type of recovery will we point too if the market collapses while Interest rates are already low? We wont be able to go about the same form of recovery as we have in the past.
","Apr 11, 2019 1:00PM ET"
318,"Looking dangerous for DOW, at these levels. Wee need to get back up to at least 145 to have a chance of further gains, in my opinion.
","Apr 11, 2019 11:48AM ET"
319,"time to wheel out the trade deal narrative again.maybe a few scripted words from a pre selected fund manager.bit more blurb.more from fund manager...job done. How to write a Reuters article 101
","Apr 11, 2019 2:58AM ET"
320,"Sorry Drama Bears ... I will Vote for Trump again :) Hola 30k
","Apr 10, 2019 3:56PM ET"
321,"the Dow its so bad and not doing so good on points? I wonder why???
","Apr 10, 2019 3:10PM ET"
322,"nobody home in the equity markets today. extreme low volume is the norm. in creeping dead money markets, when the volume returns it's almost always violent to the downside. get on with it already lol
","Apr 10, 2019 2:54PM ET"
323,"dow boring now enough
","Apr 10, 2019 2:43PM ET"
324,"when it holds defines strong stay patient invest long
","Apr 10, 2019 2:43PM ET"
325,"The current gap to close at 26000
","Apr 10, 2019 2:23PM ET"
326,"bloodbath start
","Apr 10, 2019 2:13PM ET"
327,"market holding on The trend is higher slow climb
","Apr 10, 2019 12:17PM ET"
328,"too many desperate shorts here
","Apr 10, 2019 12:15PM ET"
329,"after 36150 rocket
","Apr 10, 2019 12:03PM ET"
330,"Holding on tight to that 26100 level. LOL LOL LOL
","Apr 10, 2019 11:50AM ET"
331,"Algos say green only
","Apr 10, 2019 11:49AM ET"
332,"big sell today
","Apr 10, 2019 10:06AM ET"
333,"bonds in control again
","Apr 10, 2019 9:58AM ET"
334,"The Focus today will be on whatever makes stocks green again :D
","Apr 10, 2019 8:55AM ET"
335,"Green Green :)
","Apr 10, 2019 8:11AM ET"
336,"hello
","Apr 10, 2019 3:43AM ET"
337,"Not telling anyone what to do but think... as long as MAGA in power market will keep going up with some pullbacks here &amp; there. Also, RATE CUT IS COMING!!! U.S. is a capitalist country after all! ATH after ATH!
","Apr 10, 2019 12:31AM ET"
338,"down more 100 points at the open, i think.
","Apr 09, 2019 10:12PM ET"
339,"Dow how will open tomorrow .? forecast please.
","Apr 09, 2019 4:38PM ET"
340,"another trade war brewing between us and the EU?
","Apr 09, 2019 4:06PM ET"
341,"This means up tomorrow?
","Apr 09, 2019 3:32PM ET"
342,"Financials rolling over again. If we see faang stocks weaken further, we will get the long awaited reversal.
","Apr 09, 2019 3:28PM ET"
343,"Crazy....As i said...Indices deep red  like Orangutan ******
","Apr 09, 2019 2:45PM ET"
344,"25800, comming
","Apr 09, 2019 1:32PM ET"
345,"There's a million reasons for this to sink badly....
","Apr 09, 2019 1:28PM ET"
346,"the brexit situation is explosive but I believe it's better that the EU doesn't give a long extension to the UK, that would only mean that Britain has two leave the EU when the world economy is going to be in the toilet. better now than later
","Apr 09, 2019 12:35PM ET"
347,"needs to be more impulsive to stick. volume just not there.
","Apr 09, 2019 12:32PM ET"
348,"Time to strong buy!
","Apr 09, 2019 12:10PM ET"
349,"sit back and wait for buying opportunity patience is key
","Apr 09, 2019 12:06PM ET"
350,"Hey Guys, no swell today...no surfin'
","Apr 09, 2019 12:05PM ET"
351,"buy opportunity obvious easy money long
","Apr 09, 2019 11:44AM ET"
352,"Losing trade war leverage. EU is bullish on Belt and Road.
","Apr 09, 2019 11:15AM ET"
353,"Fundamentals ppl It's about to ******
","Apr 09, 2019 11:10AM ET"
354,"Sayonara.
","Apr 09, 2019 11:00AM ET"
355,"Hell Noooo
","Apr 09, 2019 9:50AM ET"
356,"Long Long Long lmfao
","Apr 09, 2019 9:43AM ET"
357,"Sell off everything now. Will crash further.
","Apr 09, 2019 9:41AM ET"
358,"finish bullish
","Apr 09, 2019 9:36AM ET"
359,"finish bullish
","Apr 09, 2019 9:36AM ET"
360,"S&amp;P and Nasdaq green today. Tomorrowe will be the Dow's turn to be levitated higher (and Russell). . . Don't be short these markets...I am nowhere near long as I want to be...the pullbacks have been just too shallow to get the entry I've been bidding at. M...Show more
","Apr 08, 2019 4:27PM ET"
361,"nasdaq rigged
","Apr 08, 2019 4:07PM ET"
362,"no new roads or bridges? where’d all the money go comrades? lol
","Apr 08, 2019 4:05PM ET"
363,"look nasdaq and s&amp;p dow did good job
","Apr 08, 2019 4:01PM ET"
364,"Last minute pump...Common crazy algos.....
","Apr 08, 2019 3:38PM ET"
365,"Crazy..what happened? Indices deep red like the Orangutan $$$...More red coming...End of idices..Rush to Precious Metals.....
","Apr 08, 2019 3:27PM ET"
366,"AMERICAN DEBT CRISIS , 22 TRILLION 180 BILLION ,,, TIME TO QUESTION AMERICA'S CREDIT RATING
","Apr 08, 2019 2:40PM ET"
367,"Looks like the world is running out of Oil. They way the prices are going up. World economy is slowing and the demand is slowing  ut oil goes up. Just brilliant
","Apr 08, 2019 1:54PM ET"
368,"All fake explain Boeing is down 4.5% but Dow is hardly down. Last time Boeing was up 1% and Dow was up 300 points
","Apr 08, 2019 1:48PM ET"
369,"Nice tight range for hours
","Apr 08, 2019 1:45PM ET"
370,"next week we will see what's gonna happen because of earnings.
","Apr 08, 2019 1:39PM ET"
371,"the trend is higher and it diificult to change that so the conclusion is that sideways until significant market mover news
","Apr 08, 2019 1:21PM ET"
372,"interesting to see bonds and stocks selling off together.
","Apr 08, 2019 1:06PM ET"
373,"when you don't have any signs from economy. you'll hope and buy more because you're hoping it will get better. by the time when you're hoping and praying sharks(market makers) will eat you alive.
","Apr 08, 2019 12:11PM ET"
374,"Let the drop happen people. Get prepared and just let it happen.
","Apr 08, 2019 11:44AM ET"
375,"LOL, home sentiment is up, but just bc people temporarily think it's a better time to buy a house doesn't mean they will or even have the money to do so. I think it is the perfect time to go to Mars but I'm not going
","Apr 08, 2019 11:36AM ET"
376,"to 22k, then 38k then 4k
","Apr 08, 2019 11:27AM ET"
377,"100/175 looks highly likely. Then I would expect a bounce.
","Apr 08, 2019 11:25AM ET"
378,"low volume?
","Apr 08, 2019 10:43AM ET"
379,"new record we stayed 9minutes low from that moment dow rigs it up again insane
","Apr 08, 2019 10:38AM ET"
380,"dow pumps bubble again up
","Apr 08, 2019 10:37AM ET"
381,"There's 'optimism' that the economy is slowing so stocks are up :D
","Apr 08, 2019 9:28AM ET"
382,"oh no, we are going to NEED some good trade news for today's market, so we can price it in AGAIN!
","Apr 08, 2019 7:44AM ET"
383,"27,500 by 30/04/19.  Then 30,000 then 50,000 and so on and so forth.
","Apr 08, 2019 7:11AM ET"
384,"Trade deal anyone?
","Apr 08, 2019 5:40AM ET"
385,"I love the smell of napalm in the morning. Smells like Victory.
","Apr 07, 2019 7:30PM ET"
386,"All a new round of QE will do is put the last nail in the coffin for the dollar. Loss of confidence = hyperinflation. Dedollarization is already well under way. This entire economy for the last 10 years has been a zombie, feeding off of cheap money printed...Show more
","Apr 07, 2019 6:21PM ET"
387,"hi
","Apr 07, 2019 3:33PM ET"
388,"So where to...
","Apr 07, 2019 10:53AM ET"
389,"Did you see the Dow company itself sold off on huge volume? Also Boeing after market. Poopfest.
","Apr 06, 2019 3:02PM ET"
390,"all packed for the weekend?
","Apr 05, 2019 5:54PM ET"
391,"#Jesus abt -500pts in some1's pocket *joytears C26424.99 (+40.36) 04:13 4/6
","Apr 05, 2019 4:14PM ET"
392,"crazy low volume.
","Apr 05, 2019 3:34PM ET"
393,"help this guys and keep buying this overbought indice
","Apr 05, 2019 3:23PM ET"
394,"now pushing forward and rig it up
","Apr 05, 2019 3:20PM ET"
395,"Odd trading day. most indexes just levitating into the same area all day. Just reminds me of consolidation before move up.
","Apr 05, 2019 3:04PM ET"
396,"Dow is struggling but the Russell 2000 is up almost one percent
","Apr 05, 2019 2:45PM ET"
397,"I think this is just continued consolidation for upside. us bears will have to wait another two years for our turn
","Apr 05, 2019 2:42PM ET"
398,"Enjoy bulls for now. No deal and the market has gone to the moon but the journey back would be very interesting. Markets has gone up for what reason  nothing China will never surrender that easily. Trump is pumping the market so that he will win the 2nd ti...Show more
","Apr 05, 2019 1:29PM ET"
399,"26486.57 will be the highest in this year. Good Luck lol
","Apr 05, 2019 1:26PM ET"
400,"INVERSE HS
","Apr 05, 2019 12:51PM ET"
401,"trap not short
","Apr 05, 2019 12:41PM ET"
402,"Bye Bye Mama Dow ... I bought 21k and sold 26k ... waiting if pass 27k then Buy again ...and Hard luck for Drama Bears last 3 months :) lol
","Apr 05, 2019 12:41PM ET"
403,"poor shorters
","Apr 05, 2019 12:39PM ET"
404,"minimum 200 upside expected
","Apr 05, 2019 11:51AM ET"
405,"spike
","Apr 05, 2019 11:30AM ET"
406,"Jobs report factored in already this morning.  Will not hold 26,400.  Profit taking for weekend on over bought market..  Have happy weekend from the beach, SC.
","Apr 05, 2019 10:43AM ET"
407,"27,500 by end of this month.
","Apr 05, 2019 10:27AM ET"
408,"Is any optimistic person here? Lol
","Apr 05, 2019 10:24AM ET"
409,"fake NUMBERS,,, terrible corruption ,, this number is real 22 trillion 180 billion American debt CRISIS!!!!!
","Apr 05, 2019 9:58AM ET"
410,"Global Stocks Rise On, What Else, ""Trade Talk Optimism"".  Do they ever fluctuate on concrete data and fact. What a farce this has become and the lemmings all believe its real. Reminds me of WWF wrestling.. . . . https://www.zerohedge.com/news/2019-04-05/gl...Show more
","Apr 05, 2019 9:13AM ET"
411,"Corporate companies pump and dump....they all do it before the crash.
","Apr 05, 2019 9:04AM ET"
412,"Trade deal is close.  Target 27,500 end of this month.
","Apr 05, 2019 7:16AM ET"
413,"Trade deal. Trade deal. Trade deal trade deal trade deal.
","Apr 05, 2019 6:44AM ET"
414,"Abdul, don't get discourage. It will go down and then up again. That's part of the game...and 10k is nothing compared with what i lost on Dow
","Apr 05, 2019 6:25AM ET"
415,"I am short at 26400.. thinking of closing it now as not sure about today
","Apr 05, 2019 6:09AM ET"
416,"Any thoughts on NFP today ?
","Apr 05, 2019 6:08AM ET"
417,"Its till now going up only i am all in short losing 10k
","Apr 05, 2019 4:08AM ET"
418,"25000 soon
","Apr 05, 2019 3:26AM ET"
419,"Drama Bears was saying it will break 20k but Dow jumped more than 5000 points ... Ok Mama Dow I will take my profits now and enter again if pass 27k :) Hola Amigo
","Apr 05, 2019 3:08AM ET"
420,"28000 to 29000 by July.
","Apr 04, 2019 11:29PM ET"
421,"25,500
","Apr 04, 2019 7:52PM ET"
422,"looks like 700 on the row
","Apr 04, 2019 7:38PM ET"
423,"what now :)
","Apr 04, 2019 7:30PM ET"
424,"Yes, Dow could go up another 400 points from this level, because the big hitters bait a trap as much as they can before press the button.
","Apr 04, 2019 5:12PM ET"
425,"The reason the Dow is here now because of the noisy, when the party is over then everyone is going home. Sometime some drunken ones hanging around a while.
","Apr 04, 2019 5:06PM ET"
426,"Buy the rumours and sell the news.
","Apr 04, 2019 5:02PM ET"
427,"Waiting 27000
","Apr 04, 2019 4:50PM ET"
428,"all due respect for who sell this fake market and get a loss u are not wrong cause it.s all manipulation, dow is like a big casino
","Apr 04, 2019 4:21PM ET"
429,"lol more green my drama bears :)
","Apr 04, 2019 4:02PM ET"
430,"you may find all the negative data you want. but in the short period it is long!!!! And tomorrow it will go up. and a lot
","Apr 04, 2019 4:00PM ET"
431,"22 trillion 179 billion AMERICAN Debt CRISIS
","Apr 04, 2019 3:55PM ET"
432,"extreme low volume today. geez.
","Apr 04, 2019 3:45PM ET"
433,"Be prepare!! . As soon as the trade agreement is signed, Dow will be diving to south.
","Apr 04, 2019 2:41PM ET"
